essay,topic,source,leadership,initiative,growth,motivation,values
"I will bring my industrious nature to the University of Colorado Boulder. I enjoy working with others, and I believe I can contribute in the departments of physics and mathematics. I never enjoyed math or imagined myself pursuing a career involving mathematics until my sophomore year in high school. The first time I picked up the book The Complete Idiots Guide to Calculus by Michael Kelley I couldn't put it down. I was intrigued by the formulas and the humorous manner in which the concepts were presented; it truly inspired me to pursue a career involving math. Math is competitive; only a few people take up mathematics because it takes an immense amount of reading and application to an ancient discipline. The most appealing thing to me about math is that it allows me to go into my own world, away from reality and all the stress of the daily requirements of life. I wish to contribute to math in some way; I know there are others who are making new developments and breakthroughs in math. While some people say there's nothing new to discover, I believe there is something I can contribute. I'm not the brightest math student, but it's something I love doing. With my determination and my own dreams, I can become that brilliant mathematician I see in my head. I hope to apply my skills of math, science, and engineering to real world situations by becoming an aerospace engineer. I am interested in aerospace engineering because it requires knowledge of math, physics, and basic engineering (circuits, thermodynamics, etc.). I attend programming seminars at the University of Nevada Las Vegas (UNLV) to better understand the programming that engineers use in their daily lives. I learned that programming at the college level is quite intricate; there are functions, orientations, and a whole lot of other technical operations which I am still trying to fathom. This might be my main challenge in college, but it's a challenge I am facing now to push and extend myself. For the last four years I've been applying myself to my studies in order to graduate and achieve the academic standards I set. Academic excellence is my main goal and with the Advanced Placement classes that I'm taking, I am confident that I can be an excellent student at the University of Colorado at Boulder. As the first member in my family to graduate from high school, I recognize and value the importance of an education. In my family, there is no recognition of the worth of an education. I watch my parents struggle with drug addictions and alcohol, and it has impacted the way I view my future. I realized that I don't want to lead the lives they have lived. I know that I can be better than that; I can represent something more in this world. The diverse and inclusive environment at the University of Colorado at Boulder will enable me to see the world from a different perspective.",unknown,essayforum,3.0,4.0,5.0,5.0,4.0
"The Mona Lisa is a very iconic painting by Leonardo Da Vinci; however, no one pays attention to how her smile was constructed. According to the new computer software, Facial Action Coding System or FACS, she's 83 percent happy, nine percent disgusted, six percent fearful and two percent angry. This software is very useful and can help push technology ahead.

The process begins with a computer constructing a 3-D model of the face and all 44 major muscles must move like a human face. These movements are called action units. Dr. Paul Eckman, creator of FACS, classified the six basic emotions of facial expressions; happiness, sadness, surprise, anger, disgust, and fear, and implied them to facial muscles. The software can even track mixed emotions. For example, the Mona Lisa as she has four different emotions in her picture.

The Mona Lisa demonstration is intended to bring a smile to people's faces., while it shows just how much a computer can do. Dr. Huang predicts, ""A classroom computer could recognize when a student is becoming confused or bored"". He continues to go on about how it could modify a lesson like a human instructor. This can be very useful for children and teenagers who are homeschooled and take online courses. The same technology can make computer-animated faced more expressive for video games or surgery.

This FACS machine isnt very necessary for daily life, but can help in the classroom. It is very cool and interesting, and can help teachers know when students are struggling. This software is going to help humans in the future and will only become more advanced. Dr. Huang notes, ""Most human communication is nonverbal, including emotional communication"". He is correct with that statement.

In conclusion, Dr. Huang and his colleague did a terrific job in creating such an advanced piece of technology. This will help teachers and schools in the future. The only problem is the cost of the item, because it will most likely be pretty expensive. Making faces could reveal so much about the science of emotions.",Facial action coding system,asap,0.0,1.0,1.0,2.0,2.0
"No ,i dont think the use of this technology to read the emotional expressions of students in a classroom is valuable . I honestly thinks its a waste of time a space because how can

cmputer tell how a person is feeling and what are you going to gain from it? Sure it would be cool if the computer is 100 perecnt correct but desighning this is a waste of money . No matter how a person looks doesnt mean that is their mood or how theyre feeling . I can be happy as ever and still have a mug on my face but the mug doesnt make me sad or mad . I know im happy but to others it might not look like it . The passage says "" you can probably tell how a friend is feeling simply by the look on her face"" in most cases that isnt the truth simply because anyone can hide their emotions even with a happy face , they can be going through some things and that doesnt necessarily make them happy or in a good mood . Especially a computer anualizing a painting / no , if it was a human i would to see if it would be the same results or different . The text also says "" A classroom computer could recognize when a student is becoming confused or bored.'' Which might work simply because most of all the students would look that way . ""then it could modify the lesson , like an effective human instructor'' I wouldnt think it could tell the lesson just by looking at faces . The text also says it could make computer animated faces more expensive , which means game sale prices or consulles would increase . When the text asked did the test or experiment make me feel slight happy , it didnt because i didnt understand .",Facial action coding system,asap,0.0,1.0,1.0,1.0,2.0
"Service means more to me than just giving to others without expecting anything in return. It brings me a special peace to give selflessly and scripture teaches that there is more joy in giving than in receiving. Giving is to the soul as receiving is to the body. Hence I have settled on becoming a medical doctor in the future because there are few vocations that afford so much opportunity to give and I have so much to share. My faith has perhaps the most to do with why I have chosen to pursue a career in medicine. My story in itself is an unlikely one as a boy who was born into an impoverished community in Kenya and got a modest but wonderful education from the start before he moved to the States where he now enjoys the best opportunities that can be found the world over. I am the result of the many gifts God has lavished upon my family and the bible says in Luke 12:48 ""From everyone who has been given much, much will be demanded; and from the one who has been entrusted with much, much more will be asked."" I have been entrusted with a lot and it would be a great sin against Providence if I stuffed it all under my mattress to ensure my personal wealth and wellbeing in the future. To fail to heed my calling in such a way would find me an old and perhaps wealthy man with many pills to swallow in my old age among which the bitterest one would be the knowledge that I failed to till the portion given me. What comes to mind when I think of becoming a travelling physician is that dream that will define whether the tree that is my life bares fruit or remains barren up until the end. For me the practice of medicine will be more than simply treating and preventing illnesses but also providing food for the hungry, water for those that thirst, a comforting hand for those in despair and whatever else to which all people should have access. I'm probably naïve and I am certainly inexperienced in many of the ways of the world but all dreams are naïve and lack experience otherwise we couldn't call them dreams. I do not expect to stop world hunger, war, oppression, disease or anything so big but I pray to become a tool in the hands of the Master that I may become part of something far greater than myself. Another thing that drives me to pursue a career in medicine is that it has always bothered me to think that even as I laugh at a comedy, play basketball or Xbox or stay up till late doing nothing in particular someone's life somewhere far off or relatively near me is threatened for lack of something I have aplenty. I have frequently been troubled by the yearning I get to change the TV channel when a charity announcement portraying starving children in Somalia, others orphaned by HIV in Uganda or girls in India who have been sold as sex slaves comes on. I have realized that even though I don't see or hear these things happen and though they may not have a direct impact on my lifestyle this doesn't mean they aren't happening and not all is right in the world. Due to this heartbreaking truth I have determined not to sit idly by while one of my brothers or sisters suffers but to do something, everything in my power to ease that suffering. In all honesty my decision to become a doctor is as much for me as it is for those who will need my care. This is the path my life is to take if I am to make the most of the opportunities that are so available and accessible for me. That I am able to sit and ponder what world class college to apply to is testament to the grace the Lord has shown me and I am dedicated to build myself as competent as possible for the duties that wait for me after I complete college and med school. In this stage of my growth as a person I am like a spring that my Lord is winding up by adding blessing upon blessing into my life that I may one day unwind and spread this opportunity and prosperity to all who haven't known it. It is my responsibility to get the best education possible now because education is the endless fountain from which I have the best chance to efficiently relay my fortunes to the rest of humanity.",unknown,essayforum,4.0,4.0,4.0,5.0,5.0
"I would really appreciate feedbacks!For any of you who do provide feedbacks I will return the favor for you if you like!Thank you! : I turned the knob but the house was deserted. The tranquility bewildered me for a second but I soon realized that my mom had left to Korea. I walked in and threw my backpack on my bed. I turned on the music on my computer and rested against my chair. Suddenly, a surge of loneliness swept up and I couldn't help my eyes getting watery. It was a mystery. I thought I passed the stage of shedding tears. Six. That's the number of times I traveled on plane, oscillating between Korea and America. When I was 10, 12, and even 15, I never cried of loneliness. Why now? Indeed, my mom's quick visit and departure shattered the barrier I had around me. Her warmth caught me off guard and her departure left me with a cold realization. The realization that her visit was the last of my childhood. But at the same time, I knew that it was really the time for me to seek my aspirations. As of young, I've always been questioned of my identity. ""Do you like Korea better or America better?"" A question many adults asked me. Initially, I didn't know how to approach that question. But as my identity solidified, the answer came to me in the form of an aspiration, a goal. I increasingly sought myself as a representative. When I was in Korea, I was a representative of America; and, when I was in America, I represented Korea. Because of this versatility of my identity, I became very active and attached to the Korean club in my high school years. Because I was a representative, I had to do well and I had to look out for my fellow Koreans. However that is not to say that I isolated myself from other cultures; instead, I tried to understand them as much as I could. This attitude of mine transformed into an aspiration to further proliferate my culture and my identity and also to absorb other's as well. To fulfill my aspiration, I sought out for a goal, and that was to work in an intergovernmental organization such as the World Trade Organization. I am no longer lonely as I filled in those vacancies with my passion and dream. The support I received from my parents, the resilience and independence I learned from studying abroad, and the attitude I acquired will aid me achieve my goal.",unknown,essayforum,4.0,4.0,5.0,5.0,4.0
"I'm not great at describing myself in a straightforward manner, so I chose the creative option for this. I'm worried it's too ambiguous. I know that it describes me acutely, and the people that have read it (dad, friend, etc) liked it a lot, but I can't help but feeling insecure. The admissions are not going to know me as well as the ones closest to me. Application is due Monday, and I was wondering if I should keep this or just trash it and write a new one. I feel completely hopeless :( Anyways, here goes. I am coffee at midnight. Abrasive to the impatient tongue, I arouse the embittered quarter of gustation until sweetened. I jump-start neurotic cables like the silkiest, darkened Columbian brew, while others drill their little heads into delta waves. My smell permeates into the quiet air, born prematurely into a dark world. I have been ground by the sharpest blades with a resound that shakes walls, filtered of all impurities and thrown to vapors. I have survived to be gulped as an untimely pleasure. I enlighten groggy esophagi and stain the even whitest, bleached smiles over time. I am a catalyst to passionate speech and to quicksilver pens, but beware: caffeine sprints at the front of drugged marathon, a licit drug, but a drug nonetheless. At the bottom of an empty porcelain cup, I am acquired taste. One learns to love me. I am the platypus. Water and land tear me between their vast abyss. I have lived so many animalistic lives, and from each I took away what I need most: a bill, to magnify my voice; retractable claws to fight enemies and invite friends; venom to spice it all up. I evolved for the world and exist in the solidarity of a last family member. Others have mistaken me for a myth or a convoluted hybrid, but I have always secured my identity. Maternal extinct can drive me to the point of self-sacrifice. I am a scavenger, taking the best of what I can uncover. I am evidence that each thunderclap is God laughing up in heaven, that mother Earth can giggle seismic waves right through the land. I am the hunted of a species outlasting many of its predators. For all the humor in my resilient patchwork, I will undoubtedly intrigue those who cross me. I am an open window. My dusty curtains billow in the wind, consoling the walls of a house long forgotten. I throw my shutters open for absolution. Those who seek deeper breaths will always find them reflecting off my glassy panes. In the past, I have ushered smoke out of burning rooms. I have been a portal to greener grass in a girl's nightmare. I could never boast the abilities of a door, but I am so much more than that. I pour light onto your pressed eyelids the morning after and moonlight onto your tear stricken hands. I am a second chance.",unknown,essayforum,3.0,4.0,4.0,3.0,4.0
"""Brown has one of the best liberal arts colleges in the United States."" This got me started in researching about Brown. For the past 6 years, my high school has provided me with an environment that encourages the importance of joy, when pursuing our passion and achieving our goals, to enjoy the learning process. It has also inculcated in me the importance of having global perspective, the need to venture beyond because the world is our classroom. In 2010, Brown was awarded one of the most numbers of Fulbright Grants. This shows that Brown will be able to offer me opportunities to attain greater global vision and to allow me to better understand people of other countries, shaping me to become a true global citizen. Princeton review has also ranked Brown 1st in the country in 2007, 2010 and 2010 for having the ""happiest students"". Brown appeals to me mainly because of its ability to provide the opportunity to venture beyond the campus and a campus life that proves to be lively and joyful. During my two years of junior college, I took up both Southeast Asian and International History. I have always been intrigued by how societies can adopt different political systems yet still be able to function properly and prosper, and how successful and adequate political dialogues can be crucial in ensuring regional peace and global perspective. Issues such as the Kashmir conflict between India and Pakistan or the recent deterioration of relations between North and South Korea shows there is an urgent need to enforce on peaceful resolution and to enhance on global cooperation and security. The globalization process on the other hand, has also integrated countries in many different aspects which further enhances the importance of having a good global relation. I'm also fascinated by how leaders of countries talk to each other for example when President Bush said that he could understand all he needed to know about the Russian president Vladimir Putin by simply looking him in the eye. comments please! anything you think useful would be appreciated:)",unknown,essayforum,2.0,3.0,3.0,4.0,3.0
"I went on alot of adventures to different places. I had to go overseas and I had to be on a boat. My friend Don was the one who invited me to Europe,so with out Don I would have not been able to have this great experience. Also,to be apart of the the Seagoing Cowboys.

I think you should be apart of the Seagoing Cowboys is because you get to help countries that were ruined. You get to help the countries recover their food supplies and animals. More than 44 nations joined together to help the countries. They formed the UNRRA.

The next resean you should participate is because you get to help the animals. Me and Don signed up for the Seagoing Cowboys because they help animals like horses, young cows, and mules. I helped them ship the animals overseas to the countries. You also,get to feed and nurse the animals.

The last resean you should participate is because you go to spectacular countries and great adventures. I had the benifit of seeing Europe and China. I also, got to see an excavated castle in Crete and marveled at the Panama Canal on the way to China. When I turned 18, I got to go to Greece and see Acropolis and take a gondola ride in Venice and Italy.

My conclusion is that you sholud sign up and participate in an amzing experience and help the animals and countries in need. You also, get to got see unique places and maybe learn history while you're on the trip.","""A Cowboy Who Rode the Waves""",asap,2.0,3.0,2.0,3.0,3.0
"Us as humans generate on emotions. We hate and we love that's our nature. With this new software, the Facial Action Coding System. We are able to precisely calculate our emotions. This software constructs a 3-D computer model of our face, then uses the 44 major muscles in our face to calculate our emotions. Movements in our major muscles portrays our emotions and this new software catches those precise movements. This software can better benefit the learning expeirence of both the students and the teacher by helping the teacher understand what the students do and do not understand.

This software can benefit classrooms by helping the teacher understand what the students do and do not understand. In Nick D'Alto's article he speaks of this new software in a classroom setting, ""A classroom computer could recognize when a student is becoming confused or bored."" This excerpt directly portrays that a teacher can benefit with this software. The teacher would be able to indicate exactly when students are confused and modify the lesson to better help them. This new method of teaching is able to really advance teaching techniques of teachers and help students in the long run. This software can better advance student's evidence in presentations, essays, and agruments. Also in D'alto's article he includes, ""She's 83 perecnt happy, 9 perecnt disgusted, 6 percent fearful, and 2 percent angry."" When students include photos in there presentations or essays this can better help them analyze the photo. This excerpt shows that this software can excatly calcuate someones emotions in a photo. A photo of a battle in history is a good example of how this software can benefit a student. This software would be able to read the emotions on a warriors faces of that war and show the thought process of each side of the war. One side might have been 70 percent fearful, while the other side is 70 percent disgusted. This software can directly translate into a better learning expeirence for both students and teachers.

The Facial Action Coding system can better advance the techniques and skills of both students and teachers in a classroom by helping teachers understand their students thought process much more. This will benenfit many students and teachers in the long run. This new software might be so helpful that it will be located in every household soon.",Facial action coding system,asap,1.0,2.0,2.0,3.0,2.0
"Growing up in the small university town of Tallahassee, Florida, I thought that all state colleges were the same. With large, intimidating brick buildings, students always in a frenzy to get to the next class, and professors giving a talk to three hundred ""numbers"" in a dimly lit auditorium. But then something happened that changed that mindset. I discovered the University of Central Florida. Imagine my awe the first time I cruised down Gemini Boulevard surrounded by state-of-the-art buildings and a beautiful resort-style campus with students spread out on rolling green terraces preparing for classes where the teacher actually knew the students' names. ""Oh"", I thought, ""this is new."" But the campus of UCF was not the only thing that enamored me. The number of different opportunities and internships that UCF has to offer post-graduation is unparalleled to any other college in the country and is one of the major factors in my wanting to attend Central Florida. The fact that the university has so many well-rooted connections within Orlando and the surrounding area, and numerous programs to help jumpstart graduates into the workforce is very reassuring to me. I believe that UCF's academic curriculum will help me realize my potential and achieve my goal in life, which is to work in law enforcement. Another thing that I love about the University of Central Florida is the camaraderie and friendly atmosphere that can be felt just by stepping foot on campus. A fulfilling college experience isn't only about getting good grades; it's also about making friends and having a lot of fun while maintaining those grades. What better environment to have fun than a metropolitan area with some of the world's most renowned theme parks along with some of the nicest weather in the country? While I want to maintain a high GPA, I also want to spend my college years participating in on-campus activities and living my life to the fullest. I know that UCF will allow me to do this.",unknown,essayforum,2.0,2.0,2.0,4.0,3.0
"""Hi, nice to meet you. Are you from Vietnam? I would be happy to introduce to you the rest of the Vietnamese in our school"", a Vietnamese student said to me during my visit to Denison last spring. His friendliness made me have a warm feeling of a person who has just come back home. Next, I looked around the dining room to have a better sense of Denison students. Surprisingly, I saw hundred of smiling faces everywhere. There was one thing that I knew for sure during the three hours being there: Denison is a small, friendly community, and every member loves it and supports the others. I felt a sense of family in there that I did not see in anywhere else during my college trips. I want to be a part of Denison, to support and to be supported. I strongly believe that Denison, with its strong academic teaching based on the liberal arts education, and a commitment of support each other will help me to develop myself into a successful individual. So how do you guys think? Any comments are appreciatedI will review any essay that needed, thanks",unknown,essayforum,2.0,2.0,2.0,4.0,4.0
"""I'm tired i dont want to drive home!"" what if you didnt need to drive home? You might not need to drive your car anymore. Car companies are making cars smarter and cars would be able to drive themselves. Driverless cars are effiecent because the driver doesnt need to drive all the time, there would be less accidents.

Drives won't need to drive all the time now. There are some people who just dont know how to drive and are better off not driving. In the article it said "" The Google car simply announces when the driver should be prepared to take over."" This shows that drivers would still need to drive the car but not all the time. Sometimes drivers need to get somewhere but dont go because they dont want to drive. They won't have to becuase they might drive for a little bit or maybe nothing at all.

There would be less accients if cars can be driven themselves. In the article it said "" their cars have been driven more than half a million miles without a crash.""

This shows that their cars so far have not gotten into an accient for a while. People who have cars tnd to crash many times because some drivers are just not careful. The roads would be more calm and safe. It is just better for everyone.

Car companies should make driverless are becuase people wont need to drive all the time espicially when thehy go somewhere far, and there would be less car accidents which also include less deaths. No one wants to be involved in an accident. I believe driverless cars would be neccessary and they should have them. Many people would like to have a car they dont need to drive.",Driverless cars,asap,0.0,1.0,1.0,2.0,2.0
"I truly believe that as a human race, we need fully driverless cars. I feel like we need these cars for many reasons. All the time on the news you hear about someone who was innocent get hit by a drunk driver, or someone who was texting and driving. Face it, we are all humans, and no matter what the law says we will still get an urge to talk/text and drive, or drive under the influence of alchol or another type of drug.But with self driving cars we can still do these things, exect we will have the car to drive and keep us safe. I believe with all self driving cars there will be very few accidents per year.

One of the problems is even though we need to change to fully self driving cars in the future, it will be very expensive for all of the car companies to fund this project. Also, not every human makes a good earning to afford these cars, which will be very expensive. Then if the customers dont buy the cars, it could potentionally put these major corporations out of buisiness. To also put something else in perspective, lets think about repairs. Lets say your car won't start, will you take it to a shop? Or will you have to manually find the

problem. One good question is will these cars need to be electric for all of the functions to fully work? Or will we able to stick to gas?

I personally believe, these corporations should either find a way to inexpensively produce and sell these cars, or

stick to the cars we have now. Because not everybody can dump there old car and go out and buy a new one. Also, lets say we all have to go to self driving cars. Right now there are billions of cars on this planet. We would produce so much pollution to recycle those cars, plus we would have to dump all of the non-recycleable parts. If we do happen to go to all self driving cars, it would be incredibley expensive, but it would also create lots of jobs. But these jobs would all depend on how the car was built, and what would be needed in order to keep the car fully safe and functional.",Driverless cars,asap,1.0,1.0,1.0,2.0,2.0
"Northwestern was one university that stood out of hundreds. I was amazed by its curriculum and its wonderful campus.The first thing that attracted me to the university was its strong engineering department. I have taken a great interest in math for as long as I can remember and physics always excited me in High School. I searched for universities that could provide me with opportunities to explore these subject areas and Northwestern can do so. I believe Northwestern can provide a great platform for me to reach my full potential. I decided to apply for programs that mix both Math and Physics and I landed on engineering. I take greatest interest in the Department of Civil and Mechanical Engineering which I was delighted to learn allows undergraduate students to participate in research. I am also very interested in The Walter P. Murphy Cooperative Engineering Education Program that allows students to gain real world experience whilst studying at the university. I would take advantage of such an opportunity to gain further insight into what engineering is like after graduation. I believe that the campus is an important factor in choosing a university and Northwestern has a spectacular campus. As I did not have the funds to visit the university I had to rely on pictures over the internet. With a striking position right next to the Michigan Lake I was taken aback by the campuses great beauty. Having lived a great deal of my life in Karachi, a city next to the sea, I would love to continue living in a place where even a lake is just a walk away. Its location near the city of Chicago also provides students the chance to experience the exciting city life mixed with the more composed campus life. Northwestern University has a dynamic and diverse student body. I being an international student wish to contribute to the multicultural environment of the university. I am very excited to have the opportunity to interact with students from all over the world bringing their own cultures to form a unique atmosphere. I believe that a collection of different cultures is of great value in a learning experience. It will help make me more aware of the global situation and help broaden my global perspective. The array of extracurricular activities at Northwestern amazes me. I learnt that Northwestern cares for the interests of all its students and has made it very easy to join and set up clubs and societies. I take great interest in taking part in society competitions such as math quizzes and science fares in school. I am very excited to pursue my interest in these activities on a university level and hopefully help the clubs reach new heights. I have also noticed the great interest the University takes in sports. This is apparent after Northwestern recently received the American Football Coaches Association's Academic Achievement Award once again. I wish to exploit the opportunities given by the University to my full advantage and attempt to take part in sport activities such as soccer along with academics. With its wonderful academic programs along with the abundant extracurricular activities, I believe Northwestern can provide me with the exact opportunities I need to explore my interests and fulfill my potential. My time at this beautiful university will, I am sure, be unforgettable.",unknown,essayforum,2.0,3.0,3.0,4.0,3.0
"Dear Senator,

Good day, I am writing this letter to let you know it's time for things to change. I have been reading and researching the Electoral College and i have a strong opinion on it. As you know, the Electoral College is a process when all five hundred and thirty eight electors vote on electors and defenders. This way of voting for electors lets the people have no say in whose running our goverment! Our goverment should not allow or be based on ""the winner takes all"" method. When we choose for OUR president we should be able to choose OUR electors too! Under the 23rd amendment of the constitution, the District of Columbia is allocated 3 electors and treated like a state for purposes of the electoral college. The electors shouldnt be chosen by the canidate's political party, we should choose. By voting for a president every four years a new party of electors have already been selected to run with him and we dont get any say. After the presidential election, your governer creates a list of all the canidates that ran for president in your state with a list of their representative electors. This is later sent to Congress and the National Archives as part of the official records of the presidential election.

Richard Nixon, Bob Dole, Jimmy Carter, the U.S. Chamber of Commerce, and the AFL-CIO all agree that we need to remove and forget about the electoral college. This year our voters can expect another close election in which the popular vote winner could lose the presidency. Still the electoral college still has defenders fror themselves is crazy. Facts say voters arent actually voting for the president, but for a group of electors who in turn elect the president, and that is ridiculous. How are we supposed to trust these electors if we dont even know who they are and their background until after the election? Who even are these electors i wondered. I figured out that all the electors are actually anyone with a brain and not holding a public office, fantastic. So how do i know they are reliable and going to do whats best for my state and our country? Voters dont even control whom their electors vote for most of the time which is kind of scary. Some electors are even faithless in their party's canidate so they dont even vote for them at all! How can we rely on a group of people who dont rely on their party?

As much as I hate to say it, there most definitley is an upside to the Electoral College. The Electoral College is widely regarded as an anachronism, a non-democratic method of selecting a president that needs to be overruled by declaring the canidate who receives the most popular votes the winner. I personally think that is the best way to decide who gets in. Each party selects a slate of electors that are trusted to vote for the party's nominee. Sometimes the electoral vote will not win the national popular vote. Another reason The Electoral College is a positive way of voting is how certain the outcome is. There is never failure in the counting of the votes and there us rarely a tie between two people. My favorite reason is because ""everybody is president"". This means everybody can make their own decisions and have a great amount of freedom.

Even though im all for removing the Electoral College there is positives too. In a few years when i am able to vote, i will be careful of who I vote for and make sure that there is great electors in the party i vote for.",Does the electoral college work?,asap,1.0,2.0,2.0,3.0,3.0
"Many technologies are being discovered or created to help human's life a little bit easier.

Already developed, humans can pay for things off of their phones, there are inventions that has allowed people to not even need their own two feet anymore, also, there are things that can even talk for humans.

In agreement with the development of the driverless car, it would be helpful for when people don't feel like driving, it uses less oil or gasoline than the regular cars, and there could be less accidents with this car.

When people don't feel like driving, they can be very lazy while doing it.

This can cause a lot of accidents or any type of danger.

Allowing people to have possession of the driverless car, even when they don't feel like driving, they can get in the car and not have to do anything.

People wouldn't have to do much by being behind the wheel of the driverless car because the car pretty much does everything.

The only thing that is asked of the human in the car is that they continue to pay attention to the road, and make their way through accients or roadwork.

A person can't be that lazy to where they can't watch the road.

Furthermore, the driverless car uses less oil as a regular automobile.

As said in the passage, the founder of the driverless cars said that he foresees the cars would use half the fuel of today's taxis.

This is beneficial to the drivers because they wouldn't have to spend a lot of money on gas.

Being that gas is already a lot of money, having these cars wouldn't require as much.

This is good for a driver but it can be very hurting on an oil company.

In addition, more people would be likely to drive a car that wouldn't take so much money out of their pockets.

On the other hand, there is likely to be less accidents in this car.

Referring back to the passage, the sensors in the car can cause the car to apply brakes on individual wheels and reduce power from the engine.

The car allows far better response and control than a human driver could manage.

With that being said, when a danger situation is occurring or about to happen, the human is better off trusting the car before they try to do anything.

The sensors in the car have become more advanced to detect and respond to the danger of out-of-control skids or rollovers, as said in the passage.

To conclude the subject, there are a lot of advantages of the driverless car.

In agreement with the development of the driverless car, it would be helpful for when people don't feel like driving, it uses less oil or gasoline than the regular car, and there could be less accidents with this car.

Driving this car would still require a lot of alertness.

The development of the driverless car would be useful to humans in a great number.

There are a lot of new technologies being made, where humans don't have to do a lot for themselves.

As things are getting more advanced, the less people have to actually do.

This is helpful to humans but also dangerous, and in objection, driverless cars would not be a good idea.

People already don't have to walk for themselves, paying pills or using a credit card can be easily done on a phone, or also doing work can be done for anyone by using technology.

These different forms are just making the human race lazier and lazier.

Also, there are a lot of mishaps that can happen with this car.

There could be a dangerous situation, and the car could stop functioning.

Moreover, it's an amazing idea they've come up with, and it's good that the car is being tested but the car should not be put out for people to buy or have possession of.",Driverless cars,asap,0.0,1.0,1.0,2.0,2.0
"Scientist at NASA do their best to figure the right information they have about the "" Unmasking the Face on Mars ""

. It was actually a better idea to keep the "" Face on Mars "" a secret just between the NASA team , then if nothing was bad news it could have been told after getting all the right information . The possiblities on knowing what this is and letting everyone know was very hard . It's been there since 1976 and in 2001 , at last some resoltes on the Face on Mars . NASA is very important , and if they know that it's better not to tell anyone about this , I think the people should respect their decison because they found it . Most importantly not letting people make a big deal out of this because they don't know what it could be yet .

Sometime we can't say somethings at the most part , Because it's better not to let anyone know before people go crazy and go around asking a bunch of questions . The Face on Mars was discovered in 1976 , and by the time that has passed , it's easier to see how it actually looks . But of cource you can't just send someone out to space and actually see what's going on . It's not that easy to just do that . There could be some species that are out there somewhere and don't even know about it . A period of time we believed it might have been a alien artifact , but it doesn't look like an alien's face which is something we could be for sure about that . Seeing the picture that the ( MOC ) team revealing the photo of the face , people weren't so satisfied as they thought . The people must be thinking , "" There's something up in space , should we be clam or should it be best to be worried ? "" , that's what might have happens when people don't listen to what we say is best and do what they think is right .

But at the end of all this story and "" Oh it''s this "" or "" No , wait it's actually that

"" , it turns out that it is actually a Martian equivalent of a butte or of the mesa . It's a common landforms around American West and it's the lava dome that formed an isolated mesa . Which is the same height as the "" Face on mars "" . Everything is perfectly fine , and everyone can be clam since we found out the actual and correct information and not just some random anwers that people were going around and saying about this .",The Face on Mars,asap,0.0,0.0,1.0,1.0,2.0
"When I was a young boy, my grandfather used to say that the secret of success lies in a man's hard work and his perseverance. His words proved true when I applied his wisdom to get the top position in my class. Since then, embodying these attributes into my personality, I have never faced any challenge that I could not overcome with hard work and perseverance. It is this hard working attitude that has helped me climb the ladder of academic excellence. Getting world distinctions in O-level Mathematics and Physics was no walk in the park for me, but was preceded by an uphill battle. But I remained diligent and focussed on my goal because I knew my hard work would pay off and the fruit of success would be all the more sweeter. And I was right, the pride and joy in my parents eyes when I told them about my success was worth every single bit of the hard work I put in. What differentiated me from my peers was that while they were aiming to get 'A's or 'A*'s, I was aiming for something more, something unprecedented. This ability to remain focussed and persistent has helped me in every field. Whether it be training for a soccer match or preparing for a debate competition, hard work always pays off and the best part is, at the end of the day, I know I gave my best and whatever the outcome, I feel contented.",unknown,essayforum,3.0,4.0,3.0,5.0,4.0
"Anyone who looks around Santa Barbara can see that it's a natural paradise. No matter where you are you are surrounded on either side by beautiful oceans towering mountains, and never ending trails. The wilderness is neverending, and can be explored for hours on end. It is greatly cared for by many local inhabitants. Nature has always been a part of my identity and my family's identity. The outdoors were one of the few things that my family had in common; spending time in the mountains, rivers, and on trails were some of only things that we could do peacefully. Camping was a regular weekend activity which meant that I spend a large portion of my childhood in Santa Barbara's mountains. Being in this beautiful rich environment allowed me to play and explore. I learned how to trap, fish, build fire and shelter, and be at peace with the silence and solitude the natural world provides. The wilderness became a teacher; showing me how to control myself as well as how to better live my life to serve the world instead of myself. The more time I spent out in the mountains surrounding my home the more I realized that not everyone loved the forest like I did. It was a harsh realization that not everyone was like the people inside the bubble I had grown up in, that not everyone cared about others and the world like I did. I was determined to end up as someone who did care which became harder and harder given the challenges that seemed to constantly appear in my life. Growing up in a home with a war traumatized, abusive father tried my character daily; at times making me want to give up entirely. But even through all my hatred for him I was still devastated when he passed away. This shocked me- after every ounce of pain, both physical and emotional, he had caused me I was surprised that I missed him. I realized that this was because I had learned through all my time in nature to weight the good more than the bad: the death of a grand tree allows light to reach weak seedlings. I have a drive to help people, I do not want anyone to have to go through the trials that I faced. I don't want my children to live in fear like I did, I don't want any child to live like that. I want to do whatever I can to help people and prevent that anger from ever reaching another child.",unknown,essayforum,4.0,4.0,5.0,5.0,5.0
